[18:05:18] [MAIN] Target: getscreen.exe -> svchost.exe | PID: 7360
[18:05:18] [MAIN] Shared memory created
[18:05:18] [THREAD] Injection thread started
[18:05:18] [MAIN] DLL path: C:\Users\Stranger\Desktop\ProcessHider\DLL_Injector\ProcessHider.dll
[18:05:19] [+] Injected PID 1044 (lsass.exe)
[18:05:19] [+] Injected PID 1148 (winlogon.exe)
[18:05:20] [+] Injected PID 1204 (svchost.exe)
[18:05:20] [+] Injected PID 1412 (svchost.exe)
[18:05:20] [+] Injected PID 1576 (svchost.exe)
[18:05:20] [+] Injected PID 1732 (svchost.exe)
[18:05:21] [+] Injected PID 1904 (svchost.exe)
[18:05:21] [+] Injected PID 1964 (svchost.exe)
[18:05:21] [+] Injected PID 2052 (svchost.exe)
[18:05:22] [+] Injected PID 2400 (svchost.exe)
[18:05:22] [+] Injected PID 2408 (svchost.exe)
[18:05:22] [+] Injected PID 2416 (svchost.exe)
[18:05:22] [+] Injected PID 2584 (OmenCap.exe)
[18:05:23] [+] Injected PID 2592 (svchost.exe)
[18:05:23] [+] Injected PID 2692 (svchost.exe)
[18:05:23] [+] Injected PID 2724 (svchost.exe)
[18:05:24] [+] Injected PID 3012 (NVDisplay.Container.exe)
[18:05:24] [+] Injected PID 2896 (svchost.exe)
[18:05:24] [+] Injected PID 3124 (svchost.exe)
[18:05:25] [+] Injected PID 3172 (atiesrxx.exe)
[18:05:25] [+] Injected PID 3180 (amdfendrsr.exe)
[18:05:25] [+] Injected PID 3412 (svchost.exe)
[18:05:25] [+] Injected PID 3528 (svchost.exe)
[18:05:26] [+] Injected PID 3536 (svchost.exe)
[18:05:26] [+] Injected PID 3552 (atieclxx.exe)
[18:05:26] [+] Injected PID 3680 (svchost.exe)
[18:05:27] [+] Injected PID 3728 (svchost.exe)
[18:05:27] [+] Injected PID 3744 (TouchpointAnalyticsClientService.exe)
[18:05:27] [+] Injected PID 3752 (AppHelperCap.exe)
[18:05:27] [+] Injected PID 3760 (DiagsCap.exe)
[18:05:28] [+] Injected PID 3768 (NetworkCap.exe)
[18:05:28] [+] Injected PID 3776 (SysInfoCap.exe)
[18:05:28] [+] Injected PID 4080 (svchost.exe)
[18:05:29] [+] Injected PID 4152 (svchost.exe)
[18:05:29] [+] Injected PID 4192 (NVDisplay.Container.exe)
[18:05:29] [+] Injected PID 4552 (svchost.exe)
[18:05:29] [+] Injected PID 4724 (svchost.exe)
[18:05:30] [+] Injected PID 5180 (svchost.exe)
[18:05:30] [+] Injected PID 5396 (svchost.exe)
[18:05:30] [+] Injected PID 5472 (svchost.exe)
[18:05:30] [+] Injected PID 5632 (svchost.exe)
[18:05:31] [+] Injected PID 5716 (spoolsv.exe)
[18:05:31] [+] Injected PID 5804 (RtkBtManServ.exe)
[18:05:31] [+] Injected PID 5812 (getscreen.exe)
[18:05:32] [+] Injected PID 5820 (svchost.exe)
[18:05:32] [+] Injected PID 5832 (nvcontainer.exe)
[18:05:32] [+] Injected PID 5852 (SafeExamBrowser.Service.exe)
[18:05:32] [+] Injected PID 5868 (RtkAudUService64.exe)
[18:05:33] [+] Injected PID 5876 (OfficeClickToRun.exe)
[18:05:33] [+] Injected PID 5920 (ETDService.exe)
[18:05:33] [+] Injected PID 5932 (SECOMN64.exe)
[18:05:34] [+] Injected PID 6056 (svchost.exe)
[18:05:34] [+] Injected PID 6064 (svchost.exe)
[18:05:34] [+] Injected PID 6116 (svchost.exe)
[18:05:34] [+] Injected PID 6176 (wslservice.exe)
[18:05:35] [+] Injected PID 6212 (SECOCL64.exe)
[18:05:35] [+] Injected PID 6396 (conhost.exe)
[18:05:35] [+] Injected PID 6684 (SearchIndexer.exe)
[18:05:35] [+] Injected PID 6984 (svchost.exe)
[18:05:35] [+] Injected PID 7496 (unsecapp.exe)
[18:05:36] [+] Injected PID 7592 (WmiPrvSE.exe)
[18:05:36] [+] Injected PID 8764 (nvcontainer.exe)
[18:05:36] [+] Injected PID 9152 (ETDCtrl.exe)
[18:05:37] [+] Injected PID 8608 (nvcontainer.exe)
[18:05:37] [+] Injected PID 8416 (nvcontainer.exe)
[18:05:37] [+] Injected PID 4464 (sihost.exe)
[18:05:37] [+] Injected PID 9096 (svchost.exe)
[18:05:38] [+] Injected PID 8848 (svchost.exe)
[18:05:38] [+] Injected PID 9308 (Driver Updater.exe)
[18:05:38] [+] Injected PID 9340 (taskhostw.exe)
[18:05:39] [+] Injected PID 9368 (taskhostw.exe)
[18:05:39] [+] Injected PID 9476 (svchost.exe)
[18:05:39] [+] Injected PID 9692 (svchost.exe)
[18:05:40] [+] Injected PID 9792 (ctfmon.exe)
[18:05:40] [+] Injected PID 10056 (explorer.exe)
[18:05:40] [+] Injected PID 9300 (svchost.exe)
[18:05:40] [+] Injected PID 9984 (AggregatorHost.exe)
[18:05:41] [+] Injected PID 10724 (getscreen.exe)
[18:05:41] [+] Injected PID 10304 (nvsphelper64.exe)
[18:05:42] [+] Injected PID 10380 (NVIDIA Overlay.exe)
[18:05:42] [+] Injected PID 11148 (svchost.exe)
[18:05:42] [+] Injected PID 11356 (NVIDIA Overlay.exe)
[18:05:42] [+] Injected PID 11388 (NVIDIA Overlay.exe)
[18:05:43] [+] Injected PID 11560 (NVIDIA Overlay.exe)
[18:05:43] [+] Injected PID 11996 (NVIDIA Overlay.exe)
[18:05:43] [+] Injected PID 12588 (RuntimeBroker.exe)
[18:05:44] [+] Injected PID 12832 (svchost.exe)
[18:05:49] [+] Injected PID 13076 (SearchApp.exe)
[18:05:49] [+] Injected PID 13296 (RuntimeBroker.exe)
[18:05:49] [+] Injected PID 13956 (svchost.exe)
[18:05:49] [+] Injected PID 14408 (svchost.exe)
[18:05:50] [+] Injected PID 15128 (BraveCrashHandler64.exe)
